team,ast.to.ratio,ast.g,bench.ppg,blks.g,eFG,fastbreak.pts,fga,fg.perc.off,fg.perc.def,fouls.g,fta.g,ft.perc,ftm.g,reb.margin,reb.def,reb.off,reb.g,scoring.def,scoring.margin,scoring.off,stls.g,threepa.g,threep.perc.off,threep.perc.def,threepm.g,to.margin,to.force.g,to.g,opp.eFG,poss.per.game
Texas,1.3,13,18.21,4.4,0.525,11.44,59.2,46.2,42.4,18.9,21.6,74.9,16.2,0.9,25.53,10.21,35.74,72.2,6.1,78.4,6.3,20.9,36,33.3,7.5,1.6,11.5,9.9,0.484,70.9
Texas A&M,0.96,11.9,26.34,4.1,0.475,8.5,60,41.6,40.3,17.3,25,69.5,17.4,9.3,25.03,16.19,41.22,67.9,6.4,74.3,7.5,22.5,31.1,33.4,7,1.1,13.41,12.3,0.482,70.2
Texas Tech,1.67,16.6,20.73,3,0.555,10.67,60.5,47,42.6,15.7,18,76.4,13.8,4.4,25.09,11.61,36.7,67.6,13.3,80.9,6.5,27,37.9,31.7,10.2,1.8,11.73,10,0.48,69
Troy,1.03,13.9,23.39,4.7,0.505,12.88,56.8,43.8,40.3,16.7,22.2,72,16,5.6,24.64,13.94,38.58,65.4,8.5,73.9,9.4,25.6,29.9,32.2,7.7,0.2,13.7,13.5,0.472,68.7
UC San Diego,1.82,15.9,16.71,2.2,0.558,13.18,57.3,46.6,39.6,16.4,19.1,74.6,14.2,-0.2,24.82,9.09,33.91,61.6,18.1,79.8,9.9,29.6,36.6,32.9,10.8,7.2,15.97,8.7,0.477,68.9
UCLA,1.54,16.3,26.38,3,0.53,8.16,57.9,46.6,43.1,17.4,19.1,70.3,13.4,1.5,21.81,10.84,32.66,65.7,9,74.8,8.1,20.9,35.2,33.2,7.3,4.6,15.16,10.6,0.505,67.7
UConn,1.57,17.6,20.94,6.4,0.555,8.73,57.2,48,42.3,18,17.5,79.1,13.8,6.3,24.55,11.06,35.61,68,9.4,77.4,5.3,24.4,35.4,35.1,8.6,-1.1,10.15,11.2,0.483,67.3
UNCW,1.39,15.2,29.32,3.5,0.533,10.5,57.8,47.2,42.9,16.6,22.1,74.8,16.5,7.3,26.21,12.5,38.71,69.9,9.5,79.4,6.5,21.5,33.9,33.5,7.3,0.7,11.68,10.9,0.509,68.6
Utah St.,1.63,17.4,28.24,2.8,0.567,13.09,57.6,49,44,18.4,21.7,70.3,15.2,3,23.12,11.48,34.61,70,10.9,80.9,8.6,24.6,36.5,33.9,9,3.2,13.94,10.7,0.518,69.2
Vanderbilt,1.35,14,29.03,4,0.517,11.59,61.8,45.1,46,18,21,74.7,15.7,0.4,23.22,11.69,34.91,74.8,4.8,79.6,9,24.9,32.5,36.9,8.1,3.7,14.06,10.4,0.529,72.1
VCU,1.36,15.1,22.39,5.4,0.526,12.58,59.3,44.7,38.9,17.8,19.3,74.1,14.3,5.2,25.15,13.33,38.48,62.4,15,77.4,8.2,28.5,33.4,29.9,9.5,2.8,13.88,11.1,0.444,68.4
Wisconsin,1.51,14.8,17.09,2.3,0.545,7.59,59,46,41.7,16.7,20,82.6,16.5,2.4,27.03,9.21,36.24,70.8,9.7,80.5,5.2,28.1,35.6,33.2,10,0.2,10.06,9.8,0.479,70.5
Wofford,1.37,15,19.44,2.6,0.535,8.29,57.7,45.3,43.5,16.8,18.1,66.1,12,7.6,25.41,13,38.41,69.8,5.5,75.3,6.1,28.4,34.1,33.8,9.7,-0.6,10.29,10.9,0.518,66.7
Xavier,1.51,16.9,19.47,2.6,0.539,15.19,56.8,46.6,44.3,15.6,21.1,79.4,16.8,1.4,25.72,7.97,33.69,70.9,7.2,78,7.7,21.3,38.8,33.9,8.3,1.1,12.31,11.2,0.506,71.5
Yale,1.6,16.4,18.89,3.8,0.551,9.39,60.9,49,40.1,16.1,19.2,73.2,14.1,7.5,27.82,11.29,39.11,69.2,12.1,81.4,5.8,19.5,38,32.7,7.4,1.1,11.32,10.2,0.488,70.5
