Rk,team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
131,Cornell,Ivy,18-11,3.4,114.9,111.5,70.9,-0.033,-2.57,105.6,108.2,-2.49
132,New Mexico St.,CUSA,17-15,3.1,104.4,101.3,64.8,-0.037,2.54,107,104.4,1.75
133,North Dakota St.,Sum,21-11,2.8,115.4,112.6,64.9,-0.006,-3.05,107.5,110.5,-0.16
134,South Dakota St.,Sum,20-12,2.6,109.6,107,69,-0.018,-1.8,108,109.8,4.12
135,Wichita St.,Amer,19-15,2.5,107,104.5,68.7,0.034,1.85,107.5,105.7,1.06
136,Duquesne,A10,13-19,2.5,105.9,103.4,65.2,-0.127,1.77,106.9,105.2,-1.96
137,Furman,SC,25-9,2.4,109.7,107.3,65.9,0.121,-1.43,106.4,107.9,0.49
138,Robert Morris,Horz,26-8,2.2,107,104.9,67.8,0.088,-6.16,104.6,110.7,-8.55
139,Tulane,Amer,19-14,2.1,108.8,106.6,66.6,-0.033,-1.22,106.4,107.6,-6.55
140,East Tennessee St.,SC,19-13,2,106.8,104.8,65,-0.069,-3.23,106,109.2,-3.16
141,Illinois St.,MVC,19-14,2,111.9,109.9,65.7,-0.015,0.08,107.5,107.4,-1.58
142,Murray St.,MVC,16-17,1.9,106.4,104.5,64.8,-0.05,1.46,107.6,106.2,1.32
143,UNC Greensboro,SC,20-12,1.9,107.2,105.3,63.8,-0.016,-2.2,106.6,108.8,1.5
144,Milwaukee,Horz,21-11,1.8,107.3,105.5,68.7,0.004,-3.07,106.1,109.2,2.5
145,Seattle,WAC,14-18,1.6,104,102.4,65.9,-0.138,-0.04,104.9,105,4.97
146,Davidson,A10,17-16,1.3,109.6,108.3,65.9,-0.02,0.23,106.3,106.1,-4.75
147,UC Santa Barbara,BW,21-13,1.2,108.6,107.4,65.4,-0.001,-2.71,104.8,107.5,-8.74
148,Bryant,AE,23-11,1.2,106.7,105.6,72.5,-0.004,-7.05,102.9,110,0.39
149,Miami OH,MAC,25-9,1.1,108,106.9,68.9,0.086,-5.37,103.8,109.2,-3.25
150,Radford,BSth,20-13,0.7,110.4,109.7,62.7,0.059,-2.03,106.8,108.8,1.49
151,Towson,CAA,22-11,0.7,106.9,106.2,63.6,0.094,-2.05,105.9,107.9,3.54
152,Charleston,CAA,24-9,0.7,106.1,105.4,70,0.141,-2.66,105.9,108.5,0.15
153,Rhode Island,A10,18-13,0.6,108,107.4,70.4,0.016,-0.89,105.7,106.6,-6.62
154,UTEP,CUSA,18-15,0.6,105.3,104.8,68.7,0.028,2.64,107,104.4,0.72
155,Western Kentucky,CUSA,17-15,0.5,103.5,102.9,71.6,0.034,2.43,106.7,104.3,2.1
156,Loyola Marymount,WCC,17-15,0.5,104.1,103.6,67.1,0.062,2.59,108.7,106.1,-0.37
157,Omaha,Sum,22-12,0.5,111,110.6,67.7,0.071,-2.52,106.7,109.2,0.39
158,UC Riverside,BW,21-13,0.4,109.7,109.3,67.1,0.138,2.09,107.8,105.7,8.63
159,James Madison,SB,20-12,0.3,110.5,110.2,64.8,0.069,-1.14,105.6,106.8,3.86
160,Texas A&M Corpus Chris,Slnd,20-14,0.3,106,105.7,67.4,-0.028,-3.68,104.1,107.8,3.87
161,Montana,BSky,25-9,0.3,110.7,110.5,67,0.186,-2.32,106.4,108.7,8.56
162,Virginia Tech,ACC,13-19,0.3,106.5,106.2,65.1,0.03,7.06,110.9,103.9,-1.11
163,Winthrop,BSth,23-11,0,108.3,108.3,72.6,0.078,-3.74,105.9,109.6,-3.49
164,Purdue Fort Wayne,Horz,19-13,0,109.1,109.1,69.7,-0.015,-3.52,105.3,108.8,0.76
165,Lamar,Slnd,20-13,-0.1,102,102.1,65.4,0.047,-1.69,105.5,107.2,4.17
166,Marshall,SB,20-13,-0.3,106.4,106.7,68.6,0.002,-4.05,105.4,109.5,-4.28
167,Cleveland St.,Horz,21-12,-0.3,103.8,104,65.3,0.032,-4.24,104.9,109.1,0.14
168,Appalachian St.,SB,17-14,-0.4,101.2,101.5,63.1,-0.028,-3.03,106.1,109.2,3.21
169,San Jose St.,MWC,15-19,-0.4,107.1,107.5,66.3,0.009,4.45,108.6,104.1,-3.41
170,Cal Baptist,WAC,17-15,-0.4,105.7,106.1,65.7,-0.013,-1.86,103.7,105.5,-0.18
171,Temple,Amer,17-15,-0.6,110,110.6,68.6,0.017,-0.22,106.5,106.8,-2.05
172,Florida Gulf Coast,ASun,18-14,-0.7,108.1,108.8,65.2,-0.026,-3.8,105.6,109.4,3.36
173,Nicholls,Slnd,20-13,-0.7,105.7,106.4,68.1,0.054,-1.77,104.5,106.3,8.16
174,Sam Houston St.,CUSA,13-19,-0.8,110.4,111.2,67.6,-0.04,4.32,107.2,102.9,7.14
175,Illinois Chicago,MVC,17-14,-0.9,106.9,107.8,69.1,0.066,1.3,107.2,105.9,2.39
176,East Carolina,Amer,19-14,-1,106.9,107.9,66.6,0.039,-1.11,107,108.1,-5.28
177,Oakland,Horz,16-18,-1.3,107.2,108.4,63.8,-0.007,-0.13,107.4,107.6,13.77
178,Jacksonville,ASun,19-13,-1.4,101.7,103.1,67.4,0.062,-2.48,107.4,109.9,6.81
179,Princeton,Ivy,19-11,-1.4,105.3,106.7,66.4,0.118,-0.95,107.2,108.1,0.06
180,Norfolk St.,MEAC,24-10,-1.5,107.2,108.7,66.3,0.056,-7.18,103.1,110.2,3.09
181,Eastern Kentucky,ASun,18-14,-1.6,109.7,111.3,67.6,0.019,-2.8,105.9,108.7,4.6
182,Boston College,ACC,19-Dec,-1.8,105.4,107.2,66.7,0.018,5.41,109.6,104.2,-6.74
183,Central Connecticut,NEC,25-7,-1.8,99.7,101.5,65.8,0.023,-11.88,100.2,112.1,-2.89
